Function,Dimension,Mean,Median,Std,Min,Max,Success_Rate
Sphere,2,5.529406991396836e-11,6.332430227245982e-11,2.88358484261149e-11,1.5264065846284807e-12,9.4370878888598e-11,100.0
Sphere,10,8.223755972068475e-11,8.499862299003246e-11,1.4885655095655265e-11,2.651212400894989e-11,9.985896709607515e-11,100.0
Sphere,30,1.671182995078534e-06,6.034318720716389e-07,3.5402551908252533e-06,5.20425429159997e-08,1.915686874399425e-05,66.66666666666666
Rosenbrock,2,6.235865112107519e-10,8.453987974964589e-11,1.740068832829602e-09,5.679159240639564e-12,8.887862997670566e-09,100.0
Rosenbrock,10,6.257964898536789,3.914808155633409,12.121687530773292,0.12908028113756276,70.71321510832603,0.0
Rosenbrock,30,54.72871860266308,30.933741304558684,42.96493122957916,1.0247587517986465,186.18992467999703,0.0
Rastrigin,2,0.0994959057641078,7.475975394299894e-11,0.2984877171097273,6.608047442568932e-13,0.9949590570932898,90.0
Rastrigin,10,9.054140936409528,8.457146550464302,4.0890046133323965,2.9848771715963096,16.914268660414336,0.0
Rastrigin,30,62.53002265451434,60.19506133985793,17.104730921216017,35.81925571394714,106.53133989133275,0.0
Ackley,2,6.360219018120006e-11,6.865841228886893e-11,2.7709902767431915e-11,5.830447236121472e-12,9.89293091890886e-11,100.0
Ackley,10,3.972149705451974e-08,3.203839549215104e-08,3.453150977815484e-08,4.2454755266874145e-09,1.7122948436920638e-07,100.0
Ackley,30,1.7789224598094937,1.7780522387626427,0.8986404688820743,0.00582296530915416,3.733259772622969,13.333333333333334
